32,FEP
*
*------------------------------------------------------------------------------*
*  Creation Date/Time:  Sat Dec 25 15:00:00 2021
*------------------------------------------------------------------------------*
10,SCAN_DATA,3,5,7,14,34
*,record,Key,pRTU,pSCADA,SCADA_Key,IntParms,
,1,"01002001",2,7631,"01819001",3000,
,2,"01002002",2,7632,"01819002",3001,
,3,"01002003",2,7633,"01819003",3002,
,4,"01002004",2,7634,"01819004",3003,
,5,"01002005",2,7635,"01819005",3004,
,6,"01002006",2,7636,"01819006",3005,
,7,"01002007",2,7637,"01819007",3006,
,8,"01002008",2,7638,"01819008",3008,
,9,"01002009",2,7639,"01819009",3009,
,10,"01002010",2,7640,"01819010",3010,
,11,"01002011",2,7641,"01819011",3011,
,12,"01002012",2,7642,"01819012",3012,
,13,"01002013",2,7643,"01819013",3013,
,14,"01002014",2,7644,"01819014",3014,
,15,"01002015",2,7645,"01819015",3015,
,16,"01002016",2,7646,"01819016",3019,
,17,"01002017",2,7647,"01819017",3020,
,18,"01002018",2,7648,"01819018",3016,
,19,"01002019",2,7649,"01819019",3017,
,20,"01002020",2,7650,"01819020",3018,
,21,"01002021",2,7651,"01819021",3021,
,22,"02002001",2,7652,"02819001",5000,
,23,"02002002",2,7653,"02819002",5001,
,24,"02002003",2,7654,"02819003",5002,
,25,"02002004",2,7655,"02819004",5003,
,26,"02002005",2,7656,"02819005",5004,
,27,"02002006",2,7657,"02819006",5005,
,28,"02002007",2,7658,"02819007",5006,
,29,"02002008",2,7659,"02819008",5007,
,30,"02002009",2,7660,"02819009",5008,
,31,"02002010",2,7661,"02819010",5009,
,32,"02002011",2,7662,"02819011",5010,
,33,"02002012",2,7663,"02819012",5011,
,34,"02002013",2,7664,"02819013",5012,
,35,"02002014",2,7665,"02819014",5013,
,36,"02002015",2,7666,"02819015",5014,
,37,"02002016",2,7667,"02819016",5015,
,38,"02002017",2,7668,"02819017",5016,
,39,"02002018",2,7669,"02819018",5017,
,40,"02002019",2,7670,"02819019",5018,
,41,"02002020",2,7671,"02819020",5019,
,42,"02002021",2,7672,"02819021",5020,
,43,"02002022",2,7673,"02819022",5021,
,44,"02002023",2,7674,"02819023",5022,
,45,"02002024",2,7675,"02819024",5023,
,46,"02002025",2,7676,"02819025",5024,
,47,"02002026",2,7677,"02819026",5025,
,48,"02002027",2,7678,"02819027",5026,
,49,"02002028",2,7679,"02819028",5027,
,50,"02002029",2,7680,"02819029",5028,
,51,"02002030",2,7681,"02819030",5029,
,52,"02002031",2,7682,"02819031",5030,
,53,"02002032",2,7683,"02819032",5031,
,54,"02002033",2,7684,"02819033",5032,
,55,"02002034",2,7685,"02819034",5033,
,56,"02002035",2,7686,"02819035",5034,
,57,"02002036",2,7687,"02819036",5035,
,58,"02002037",2,7688,"02819037",5036,
,59,"02002038",2,7689,"02819038",5037,
,60,"02002039",2,7690,"02819039",5038,
,61,"02002040",2,7691,"02819040",5039,
,62,"02002041",2,7692,"02819041",5040,
,63,"02002042",2,7693,"02819042",5041,
,64,"02002043",2,7694,"02819043",5042,
,65,"02002044",2,7695,"02819044",5043,
,66,"02002045",2,7696,"02819045",5044,
,67,"02002046",2,7697,"02819046",5045,
,68,"02002047",2,7698,"02819047",5046,
,69,"02002048",2,7699,"02819048",5047,
,70,"02002049",2,7700,"02819049",5048,
,71,"02002050",2,7701,"02819050",5049,
,72,"02002051",2,7702,"02819051",5050,
,73,"02002052",2,7703,"02819052",5051,
,74,"02002053",2,7704,"02819053",5052,
,75,"02002054",2,7705,"02819054",5053,
,76,"02002055",2,7706,"02819055",5054,
,77,"02002056",2,7707,"02819056",5055,
,78,"02002057",2,7708,"02819057",5056,
,79,"02002058",2,7709,"02819058",5057,
,80,"02002059",2,7710,"02819059",5058,
,81,"02002060",2,7711,"02819060",5059,
,82,"02002061",2,7712,"02819061",5060,
,83,"02002062",2,7713,"02819062",5061,
,84,"02002063",2,7714,"02819063",5062,
,85,"02002064",2,7715,"02819064",5063,
,86,"02002065",2,7716,"02819065",5064,
,87,"02002066",2,7717,"02819066",5065,
,88,"02002067",2,7718,"02819067",5066,
,89,"02002068",2,7719,"02819068",5067,
,90,"02002069",2,7720,"02819069",5068,
,91,"02002070",2,7721,"02819070",5069,
,92,"02002071",2,7722,"02819071",5070,
,93,"02002072",2,7723,"02819072",5071,
,94,"02002073",2,7724,"02819073",5072,
,95,"02002074",2,7725,"02819074",5073,
,96,"02002075",2,7726,"02819075",5074,
,97,"02002076",2,7727,"02819076",5075,
,98,"02002077",2,7728,"02819077",5076,
,99,"02002078",2,7729,"02819078",5077,
,100,"02002079",2,7730,"02819079",5078,
,101,"02002080",2,7731,"02819080",5079,
,102,"02002081",2,7732,"02819081",5080,
,103,"02002082",2,7733,"02819082",5081,
,104,"02002083",2,7734,"02819083",5082,
,105,"02002084",2,7735,"02819084",5083,
,106,"02002085",2,7736,"02819085",5084,
,107,"02002086",2,7737,"02819086",5085,
,108,"02002087",2,7738,"02819087",5086,
,109,"02002088",2,7739,"02819088",5087,
,110,"02002089",2,7740,"02819089",5088,
,111,"02002090",2,7741,"02819090",5089,
,112,"02002091",2,7742,"02819091",5090,
,113,"02002092",2,7743,"02819092",5091,
,114,"02002093",2,7744,"02819093",5092,
,115,"02002094",2,7745,"02819094",5093,
,116,"02002095",2,7746,"02819095",5094,
,117,"02002096",2,7747,"02819096",5095,
,118,"02002097",2,7748,"02819097",5096,
,119,"02002098",2,7749,"02819098",5097,
,120,"02002099",2,7750,"02819099",5098,
,121,"02002100",2,7751,"02819100",5099,
,122,"02002101",2,7752,"02819101",5100,
,123,"02002102",2,7753,"02819102",5101,
,124,"02002103",2,7754,"02819103",5102,
,125,"02002104",2,7755,"02819104",5103,
,126,"02002105",2,7756,"02819105",5104,
,127,"02002106",2,7757,"02819106",5105,
,128,"02002107",2,7758,"02819107",5106,
,129,"02002108",2,7759,"02819108",5107,
,130,"02002109",2,7760,"02819109",5108,
,131,"02002110",2,7761,"02819110",5109,
,132,"02002111",2,7762,"02819111",5110,
,133,"02002112",2,7763,"02819112",5111,
,134,"02002113",2,7764,"02819113",5112,
,135,"02002114",2,7765,"02819114",5113,
,136,"02002115",2,7766,"02819115",5114,
,137,"02002116",2,7767,"02819116",5115,
,138,"02002117",2,7768,"02819117",5116,
,139,"02002118",2,7769,"02819118",5117,
,140,"02002119",2,7770,"02819119",5118,
,141,"02002120",2,7771,"02819120",5119,
